AR Name,Client Name,Project Name,Project Code,PAR,Invoice Amount,Amount (PHP),Currency,Sales Remarks,Finance Remarks,Status,AM,Amount Collected,Amount Collected (PHP),Balance (PHP),Year,Business Unit,Signed CE,Internal CE,Invoice Request,Invoice Number,SI Number,Invoice,Invoice Date,Collection Date,CE Collection Date,Invoice Aging (days),CE Aging,Collection Week
MPL PH S17 Addedum for Gen Set Full Payment (50%),Moonton Philippines Technology Inc.,MPL PH S17 Addendum (Genset Diesel),2026TEG-P0085,202603300095,324889.6,"324,889.60",PHP,,,Pending Invoice Request Approval,Marcus Joaquin Viray Gonzales,,,,2026,PDEI-Event Service,CE-2026TEG-P0085-MPL PH S17 Addendum.pdf,https://docs.google.com/spreadsheets/d/1wPgnLLpi1hbpY9t9l9EJr3FNYeQ4WrECK7BTcEaM7Xw/edit?usp=sharing,2.02606050092e+11,,,,,2026/07/01,,0,0y 0m 0d late,27
MPL PH S17 Full Payment,Moonton Philippines Technology Inc.,MPL PH S17,2026TEG-P0009,202602190021,9.70495566e+06,"9,704,955.66",PHP,June 1: On Track for July 1,,Pending Invoice Request Approval,Marcus Joaquin Viray Gonzales,,,,2026,PDEI-Event Service,[REVISED] CE-2026TEG-P0009-MPL PH S17.pdf,https://docs.google.com/spreadsheets/d/1TO1l4QgZu9SyxbryM68AwIFA3bOs1KqhbjbsOmyBXPc/edit?usp=sharing,2.02606050091e+11,,,,,2026/07/01,,0,0y 0m 0d late,27
LapakGaming MPL Playoffs Festival Booth 20% Downpayment,LapakGaming,LapakGaming MPL Playoffs Festival Booth,2026TEG-P0137,202605240013,738.36,"42,086.52",USD,Asked ID for payment arrangement,,Pending Invoice Request Approval,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Event Service,[Signed] CE_2026TEG-P0137_Lapak Gaming. x MPL Festival - Quotation (Automated) (.pdf,https://docs.google.com/spreadsheets/d/1ZXFhWuEjPoYkbjrn-TC-8jc6iauHfyjuLIIT6XggMxM/edit?gid=1329781562#gid=1329781562,2.02605250079e+11,,,,,2026/06/30,2026/05/23,0,0y 1m 7d late,27
MCGG Season 6 Crew Clash x Elgin Full Payment,Mineski ID,MCGG Season 6 Crew Clash x Elgin,2026TEG-P0112,202605120079,1613.02,"91,942.14",USD,Invoice filed,,Pending Invoice Request Approval,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Game Marketing,,https://docs.google.com/spreadsheets/d/1Hgym4s6pwcOD7QQPWOg500atgMVyMEIQFyzCUW7H7l0/edit?usp=sharing,2.02606090074e+11,,,,,2026/06/30,,0,0y 0m 0d late,27
GTCC September Arena Full Payment,Gamemaster Integrated,GTCC September Arena,2025TEG-P0107,,9.41028532e+06,"9,410,285.32",PHP,June 1: Payment processing on track for on or before June 15. Awaiting client's legal team to send us 5 copies for wet signature. ,,For Invoicing,Alvaro Miguel Dela Vega Santos,,,,2025,PDEI-Event Service,,,,,,,,2026/10/30,,0,0y 0m 0d late,44
LapakGaming MPL Playoffs Festival Booth 80% Full Payment,LapakGaming,LapakGaming MPL Playoffs Festival Booth,2026TEG-P0137,202605240013,2953.43,"168,345.51",USD,Asked ID for payment arrangement June 2,,For Invoicing,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Event Service,[Signed] CE_2026TEG-P0137_Lapak Gaming. x MPL Festival - Quotation (Automated) (.pdf,https://docs.google.com/spreadsheets/d/1ZXFhWuEjPoYkbjrn-TC-8jc6iauHfyjuLIIT6XggMxM/edit?gid=1329781562#gid=1329781562,,,,,,2026/06/05,2026/06/05,0,0y 0m 0d late,23
"BPI Ready, Ipon, Game! Creatives Project Full Payment",BPI,"BPI Ready, Ipon, Game! Creatives Project",2026TEG-P0125,202605210040,45000,"45,000.00",PHP,Project to be completed June 8,,For Invoicing,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Game Marketing,,https://docs.google.com/spreadsheets/d/16jxIxyn6yh3Vh3zAqPmiXjjKulkTMobAUzEZmuCq-gs/edit?usp=sharing,,,,,,2026/06/30,,0,0y 0m 0d late,27
SM Cyberzone Game Fest 2026 Payments,SM Prime Holdings Inc.,SM Cyberzone Game Fest 2026,2025TEG-P0340,202605150074,3.1346658e+06,"3,134,665.80",PHP,June 29: To be processed after Final (Davao) leg as this requires GR number from Cyberzone team,,For Invoicing,Shanna Mae Alindada Sacsi,,,,2026,PDEI-Event Service,,https://docs.google.com/spreadsheets/d/10qldLpQSaBmtVFzO1p5BzkD7Xz6MMejiFJ3r3yOUQ5o/edit?usp=sharing,,,,,,2026/10/31,,0,0y 0m 0d late,44
Addendum - SM Cyberzone Game Fest 2026 Payments,"SM Prime Holdings Inc.,SM Prime Holdings Inc. ","[Addendum] DOTA Casters - SM Cyberzone Game Fest 2026,[Addendum] PCs & PS5 Rental - SM Cyberzone Game Fest 2026",2026TEG-P0128,202605150074,94070.59,"94,070.59",PHP,June 29: To be processed after Final (Davao) leg as this requires GR number from Cyberzone team,,For Invoicing,"Shanna Mae Alindada Sacsi
Shanna Mae Alindada Sacsi",,,,"2026,2026",PDEI-Event Service,,"https://docs.google.com/spreadsheets/d/10qldLpQSaBmtVFzO1p5BzkD7Xz6MMejiFJ3r3yOUQ5o/edit?usp=sharing
https://docs.google.com/spreadsheets/d/10qldLpQSaBmtVFzO1p5BzkD7Xz6MMejiFJ3r3yOUQ5o/edit?usp=sharing",,,,,,2026/10/31,,0,0y 0m 0d late,44
World of Tanks HEAT May KOL Campaign Full PAyment,Wargaming,World of Tanks HEAT May KOL Campaign,2026TEG-P0110,,500,"28,500.00",USD,,,For Invoicing,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Game Marketing,World Of Tanks HEAT GianSanity Campaign CE - QUOTATION_signed.pdf,https://docs.google.com/spreadsheets/d/1VOIWlS22204IyCsG0WN7DZnLnIKIE9dsVHRQiERh_Rg/edit?usp=sharing,,,,,,2026/06/30,2026/07/13,0,0y 0m 13d early,27
PUBGM 8th Anniv. Offline Event Full Payment,Level Infinite,PUBGM 8th Anniv. Offline Event,2026TEG-P0066,202603150011,55438.6,"3,160,000.20",USD,"May 13: USD invoice sent.
June 14: ETA of payment. Confirmed by Hee",,For Collection,Shanna Mae Alindada Sacsi,,,,2026,GG-Event Service,[MAIN] PUBG Mobile 8th Anniversary Event - [USD] Quote.pdf,https://docs.google.com/spreadsheets/d/1YsUVVq1imzd4Aa6itrwd5CHvLE5pXHONCg2sBvoKuKM/edit?usp=sharing,2.02605090002e+11,INV-0177,,Invoice INV-0177 __ SI#166.pdf,2026/05/12,2026/08/24,,104,0y 0m 0d late,35
